name,aqi,lon,lat
克拉玛依,49.0,85.2869,45.5054
温州,49.0,120.498,27.8119
金坛,57.0,119.6056,31.7314
锦州,66.0,121.6626,41.4294
舟山,39.0,122.2559,30.2234
开封,75.0,114.5764,34.6124
济宁,81.0,116.8286,35.3375
宿迁,62.0,118.5535,33.7775
金华,62.0,120.0037,29.1028
乳山,47.0,121.5469,36.9263
荆州,73.0,113.291,30.0092
宝鸡,66.0,107.1826,34.3433
金昌,61.0,102.074,38.5126
秦皇岛,57.0,119.2126,40.0232
铜川,67.0,109.0393,35.1947
太原,70.0,112.3352,37.9413
攀枝花,49.0,101.6895,26.7133
株洲,55.0,113.5327,27.0319
嘉峪关,66.0,98.1738,39.8035
岳阳,64.0,113.2361,29.1357
石嘴山,70.0,106.4795,39.0015
沈阳,60.0,123.1238,42.1216
胶州,53.0,120.0354,36.2703
日照,64.0,119.2786,35.5023
阳泉,66.0,113.4778,38.0951
湖州,60.0,119.8608,30.7782
北海,38.0,109.314,21.6211
江阴,72.0,120.2911,31.927
西安,77.0,109.1162,34.2004
海口,33.0,110.3893,19.8516
德阳,60.0,104.48,31.1133
吉林,51.0,126.8372,43.6047
常州,61.0,119.4543,31.5582
潮州,49.0,116.7847,23.8293
惠州,46.0,114.6204,23.1647
扬州,62.0,119.4653,32.8162
菏泽,86.0,115.6201,35.2057
句容,57.0,119.1736,31.9506
济南,96.0,117.1582,36.8701
杭州,58.0,119.5313,29.8773
胶南,63.0,119.77,35.944
武汉,68.0,114.3896,30.6628
南通,60.0,121.1023,32.1625
即墨,58.0,120.4519,36.3952
重庆,61.0,106.556,29.5709
莱西,57.0,120.5231,36.8934
三门峡,78.0,110.8301,34.3158
福州,42.0,119.4543,25.9222
大庆,47.0,124.7717,46.4282
抚顺,48.0,124.585,41.8579
葫芦岛,68.0,120.1575,40.578
汕尾,37.0,115.5762,23.0438
兰州,73.0,103.5901,36.3043
揭阳,52.0,116.1255,23.313
茂名,40.0,111.0059,22.0221
河源,48.0,114.917,23.9722
东营,86.0,118.7073,37.5513
大连,54.0,122.2229,39.4409
淮安,59.0,118.927,33.4039
宜宾,50.0,104.6558,28.548
焦作,76.0,112.8406,35.1508
赤峰,49.0,118.6743,43.2642
佛山,56.0,112.8955,23.1097
衢州,53.0,118.6853,28.8666
南京,60.0,118.8062,31.9208
招远,57.0,120.4422,37.3624
长沙,64.0,113.0823,28.2568
德州,102.0,116.6858,37.2107
富阳,64.0,119.9668,30.0566
盘锦,53.0,121.9482,41.0449
长治,79.0,112.8625,36.4746
合肥,62.0,117.29,32.0581
昆明,46.0,102.9199,25.4663
清远,48.0,112.9175,24.3292
包头,67.0,110.3467,41.4899
长春,59.0,125.8154,44.2584
安阳,88.0,114.5325,36.0022
九江,59.0,115.4224,29.3774
马鞍山,62.0,118.6304,31.5363
常熟,58.0,120.7582,31.6602
常德,56.0,111.4014,29.2676
沧州,70.0,116.8286,38.2104
北京,79.0,116.4147,39.9125
瓦房店,58.0,121.9854,39.6334
衡水,106.0,115.8838,37.7161
溧阳,57.0,119.4905,31.4217
滨州,78.0,117.8174,37.4963
莱州,63.0,119.9476,37.184
嘉兴,61.0,120.9155,30.6354
保定,95.0,115.0488,39.0948
桂林,60.0,110.5554,25.318
海门,56.0,121.1882,31.8793
东莞,52.0,113.8953,22.901
