name,aqi,lon,lat
诸暨,112.0,120.2424,29.7197
自贡,67.0,104.6667,29.2786
淄博,93.0,118.0371,36.6064
珠海,43.0,113.7305,22.1155
镇江,65.0,119.4763,31.9702
郑州,95.0,113.4668,34.6234
章丘,66.0,117.538,36.6831
枣庄,84.0,117.323,34.8926
宜兴,62.0,119.8306,31.344
义乌,57.0,120.0789,29.3123
营口,55.0,122.4316,40.4297
银川,74.0,106.3586,38.1775
宜昌,64.0,111.1707,30.7617
盐城,55.0,120.2234,33.5577
徐州,63.0,117.5208,34.3268
西宁,62.0,101.4038,36.8207
邢台,103.0,114.8071,37.2821
咸阳,70.0,108.4131,34.8706
厦门,40.0,118.1689,24.6478
无锡,64.0,120.3442,31.5527
乌鲁木齐,75.0,87.9236,43.5883
延安,69.0,109.1052,36.4252
吴江,62.0,120.6543,31.1464
芜湖,58.0,118.3557,31.0858
张家界,60.0,110.5115,29.328
文登,45.0,122.0665,37.201
阳江,41.0,111.8298,22.0715
渭南,71.0,109.7864,35.0299
湘潭,65.0,112.5439,27.7075
威海,49.0,121.9482,37.1393
潍坊,83.0,119.0918,36.524
天津,73.0,117.2076,39.0913
泰州,66.0,120.0586,32.5525
台州,47.0,121.1353,28.6688
张家口,59.0,114.893303,40.830718,
太仓,59.0,121.1363,31.4628
苏州,62.0,120.6519,31.3989
寿光,89.0,118.7973,36.8621
贵阳,46.0,106.6992,26.7682
柳州,58.0,109.3799,24.9774
石家庄,86.0,114.4995,38.1006
深圳,41.0,114.5435,22.5439
绵阳,50.0,104.7327,31.8713
绍兴,61.0,120.564,29.7565
汕头,43.0,117.1692,23.3405
大同,58.0,113.7854,39.8035
上海,60.0,121.4854,31.2372
三亚,27.0,109.3716,18.3698
江门,42.0,112.6318,22.1484
曲靖,44.0,103.9417,25.7025
鄂尔多斯,54.0,108.9734,39.2487
齐齐哈尔,44.0,124.541,47.5818
平度,61.0,119.9624,36.7915
中山,42.0,113.4229,22.478
烟台,53.0,120.7397,37.5128
平顶山,101.0,112.9724,33.739
韶关,50.0,113.7964,24.7028
蓬莱,55.0,120.7653,37.8165
张家港,68.0,120.562,31.8809
鞍山,68.0,123.0798,40.6055
宁波,48.0,121.5967,29.6466
南充,64.0,106.2048,31.1517
肇庆,53.0,112.1265,23.5822
南昌,57.0,116.0046,28.6633
梅州,45.0,116.1255,24.1534
荣成,48.0,122.4939,37.1706
青岛,59.0,120.4651,36.3373
泸州,60.0,105.4578,28.493
呼和浩特,64.0,111.4124,40.4901
洛阳,74.0,112.0605,34.3158
丽水,45.0,119.5642,28.1854
承德,60.0,117.5757,41.4075
临沂,77.0,118.3118,35.2936
临汾,55.0,111.4783,36.1615
临安,64.0,119.7295,30.2382
湛江,40.0,110.3577,20.9894
聊城,98.0,115.9167,36.4032
连云港,59.0,119.1248,34.552
玉溪,36.0,101.9312,23.8898
廊坊,84.0,116.521,39.0509
拉萨,49.0,91.1865,30.1465
南宁,52.0,108.479,23.1152
牡丹江,47.0,129.7815,44.7089
泉州,43.0,118.3228,25.1147
莱芜,90.0,117.6526,36.2714
成都,67.0,103.9526,30.7617
泰安,76.0,117.0264,36.0516
广州,57.0,113.5107,23.2196
丹东,45.0,124.541,40.4242
遵义,54.0,106.908,28.1744
昆山,60.0,120.9859,31.3909
本溪,57.0,124.1455,41.1987
云浮,52.0,111.7859,22.8516
唐山,81.0,118.4766,39.6826
库尔勒,76.0,86.1731,41.7334
邯郸,101.0,114.4775,36.535
哈尔滨,48.0,127.9688,45.368
