name,aqi,lon,lat
常德,70.0,111.4014,29.2676
沧州,96.0,116.8286,38.2104
北京,100.0,116.4147,39.9125
瓦房店,75.0,121.9854,39.6334
衡水,112.0,115.8838,37.7161
溧阳,81.0,119.4905,31.4217
滨州,96.0,117.8174,37.4963
莱州,81.0,119.9476,37.184
嘉兴,73.0,120.9155,30.6354
保定,107.0,115.0488,39.0948
桂林,58.0,110.5554,25.318
海门,73.0,121.1882,31.8793
东莞,44.0,113.8953,22.901
