name,aqi,lon,lat
日照,111.0,119.2786,35.5023
北海,72.0,109.314,21.6211
江阴,115.0,120.2911,31.927
阳泉,103.0,113.4778,38.0951
湖州,103.0,119.8608,30.7782
潮州,86.0,116.7847,23.8293
惠州,56.0,114.6204,23.1647
扬州,100.0,119.4653,32.8162
菏泽,160.0,115.6201,35.2057
句容,101.0,119.1736,31.9506
济南,143.0,117.1582,36.8701
杭州,96.0,119.5313,29.8773
武汉,135.0,114.3896,30.6628
南通,105.0,121.1023,32.1625
即墨,86.0,120.4519,36.3952
大庆,78.0,124.7717,46.4282
抚顺,109.0,124.585,41.8579
葫芦岛,107.0,120.1575,40.578
福州,62.0,119.4543,25.9222
三门峡,141.0,110.8301,34.3158
汕尾,62.0,115.5762,23.0438
兰州,96.0,103.5901,36.3043
揭阳,73.0,116.1255,23.313
茂名,71.0,111.0059,22.0221
河源,63.0,114.917,23.9722
东营,125.0,118.7073,37.5513
大连,88.0,122.2229,39.4409
淮安,114.0,118.927,33.4039
佛山,68.0,112.8955,23.1097
衢州,78.0,118.6853,28.8666
南京,106.0,118.8062,31.9208
招远,95.0,120.4422,37.3624
长沙,117.0,113.0823,28.2568
德州,158.0,116.6858,37.2107
盘锦,97.0,121.9482,41.0449
长治,99.0,112.8625,36.4746
合肥,112.0,117.29,32.0581
昆明,57.0,102.9199,25.4663
重庆,115.0,106.556,29.5709
安阳,166.0,114.5325,36.0022
海门,100.0,121.1882,31.8793
东莞,69.0,113.8953,22.901
莱州,106.0,119.9476,37.184
嘉兴,94.0,120.9155,30.6354
保定,205.0,115.0488,39.0948
瓦房店,104.0,121.9854,39.6334
衡水,170.0,115.8838,37.7161
莱西,108.0,120.5231,36.8934
溧阳,105.0,119.4905,31.4217
滨州,133.0,117.8174,37.4963
常德,98.0,111.4014,29.2676
九江,79.0,115.4224,29.3774
马鞍山,104.0,118.6304,31.5363
常熟,100.0,120.7582,31.6602
沧州,121.0,116.8286,38.2104
北京,131.0,116.4147,39.9125
长春,115.0,125.8154,44.2584
清远,75.0,112.9175,24.3292
包头,102.0,110.3467,41.4899
桂林,94.0,110.5554,25.318
