name,aqi,lon,lat
苏州,104.0,120.6519,31.3989
富阳,91.0,119.9668,30.0566
泰州,108.0,120.0586,32.5525
自贡,145.0,104.6667,29.2786
淄博,142.0,118.0371,36.6064
诸暨,124.0,120.2424,29.7197
珠海,70.0,113.7305,22.1155
镇江,100.0,119.4763,31.9702
郑州,179.0,113.4668,34.6234
章丘,134.0,117.538,36.6831
枣庄,150.0,117.323,34.8926
宜兴,87.0,119.8306,31.344
义乌,96.0,120.0789,29.3123
营口,84.0,122.4316,40.4297
银川,100.0,106.3586,38.1775
宜昌,168.0,111.1707,30.7617
盐城,100.0,120.2234,33.5577
徐州,126.0,117.5208,34.3268
西宁,98.0,101.4038,36.8207
邢台,180.0,114.8071,37.2821
咸阳,104.0,108.4131,34.8706
厦门,59.0,118.1689,24.6478
无锡,108.0,120.3442,31.5527
乌鲁木齐,141.0,87.9236,43.5883
延安,99.0,109.1052,36.4252
吴江,95.0,120.6543,31.1464
芜湖,87.0,118.3557,31.0858
张家界,103.0,110.5115,29.328
文登,77.0,122.0665,37.201
阳江,67.0,111.8298,22.0715
渭南,108.0,109.7864,35.0299
湘潭,108.0,112.5439,27.7075
威海,77.0,121.9482,37.1393
潍坊,122.0,119.0918,36.524
天津,126.0,117.2076,39.0913
台州,81.0,121.1353,28.6688
张家口,71.0,114.893303,40.830718,
太仓,98.0,121.1363,31.4628
寿光,141.0,118.7973,36.8621
贵阳,76.0,106.6992,26.7682
柳州,101.0,109.3799,24.9774
石家庄,158.0,114.4995,38.1006
深圳,64.0,114.5435,22.5439
绵阳,89.0,104.7327,31.8713
绍兴,92.0,120.564,29.7565
汕头,68.0,117.1692,23.3405
大同,90.0,113.7854,39.8035
上海,95.0,121.4854,31.2372
三亚,46.0,109.3716,18.3698
江门,78.0,112.6318,22.1484
曲靖,59.0,103.9417,25.7025
鄂尔多斯,72.0,108.9734,39.2487
齐齐哈尔,70.0,124.541,47.5818
平度,97.0,119.9624,36.7915
中山,66.0,113.4229,22.478
烟台,87.0,120.7397,37.5128
平顶山,149.0,112.9724,33.739
韶关,60.0,113.7964,24.7028
蓬莱,81.0,120.7653,37.8165
张家港,118.0,120.562,31.8809
鞍山,116.0,123.0798,40.6055
宁波,86.0,121.5967,29.6466
南充,118.0,106.2048,31.1517
肇庆,78.0,112.1265,23.5822
南昌,74.0,116.0046,28.6633
梅州,64.0,116.1255,24.1534
荣成,73.0,122.4939,37.1706
青岛,100.0,120.4651,36.3373
泸州,128.0,105.4578,28.493
呼和浩特,91.0,111.4124,40.4901
洛阳,138.0,112.0605,34.3158
丽水,76.0,119.5642,28.1854
承德,87.0,117.5757,41.4075
临沂,144.0,118.3118,35.2936
临汾,107.0,111.4783,36.1615
临安,97.0,119.7295,30.2382
湛江,58.0,110.3577,20.9894
聊城,152.0,115.9167,36.4032
连云港,106.0,119.1248,34.552
玉溪,52.0,101.9312,23.8898
廊坊,138.0,116.521,39.0509
拉萨,51.0,91.1865,30.1465
南宁,84.0,108.479,23.1152
牡丹江,90.0,129.7815,44.7089
泉州,57.0,118.3228,25.1147
莱芜,142.0,117.6526,36.2714
成都,126.0,103.9526,30.7617
泰安,122.0,117.0264,36.0516
广州,69.0,113.5107,23.2196
丹东,91.0,124.541,40.4242
遵义,84.0,106.908,28.1744
昆山,92.0,120.9859,31.3909
本溪,98.0,124.1455,41.1987
云浮,64.0,111.7859,22.8516
唐山,140.0,118.4766,39.6826
库尔勒,146.0,86.1731,41.7334
哈尔滨,133.0,127.9688,45.368
邯郸,158.0,114.4775,36.535
克拉玛依,74.0,85.2869,45.5054
温州,80.0,120.498,27.8119
金坛,94.0,119.6056,31.7314
锦州,100.0,121.6626,41.4294
舟山,66.0,122.2559,30.2234
开封,131.0,114.5764,34.6124
济宁,125.0,116.8286,35.3375
宿迁,110.0,118.5535,33.7775
金华,92.0,120.0037,29.1028
乳山,80.0,121.5469,36.9263
荆州,137.0,113.291,30.0092
宝鸡,102.0,107.1826,34.3433
金昌,97.0,102.074,38.5126
秦皇岛,109.0,119.2126,40.0232
铜川,115.0,109.0393,35.1947
太原,101.0,112.3352,37.9413
攀枝花,67.0,101.6895,26.7133
株洲,112.0,113.5327,27.0319
嘉峪关,93.0,98.1738,39.8035
岳阳,95.0,113.2361,29.1357
石嘴山,108.0,106.4795,39.0015
沈阳,131.0,123.1238,42.1216
胶州,84.0,120.0354,36.2703
宜宾,123.0,104.6558,28.548
焦作,164.0,112.8406,35.1508
赤峰,91.0,118.6743,43.2642
西安,112.0,109.1162,34.2004
德阳,107.0,104.48,31.1133
海口,51.0,110.3893,19.8516
胶南,105.0,119.77,35.944
吉林,107.0,126.8372,43.6047
常州,115.0,119.4543,31.5582
