name,aqi,lon,lat
聊城,134.0,115.9167,36.4032
连云港,86.0,119.1248,34.552
玉溪,42.0,101.9312,23.8898
廊坊,121.0,116.521,39.0509
拉萨,58.0,91.1865,30.1465
南宁,64.0,108.479,23.1152
牡丹江,74.0,129.7815,44.7089
泉州,49.0,118.3228,25.1147
莱芜,121.0,117.6526,36.2714
成都,92.0,103.9526,30.7617
泰安,103.0,117.0264,36.0516
广州,59.0,113.5107,23.2196
遵义,65.0,106.908,28.1744
昆山,79.0,120.9859,31.3909
本溪,83.0,124.1455,41.1987
云浮,54.0,111.7859,22.8516
唐山,119.0,118.4766,39.6826
库尔勒,107.0,86.1731,41.7334
邯郸,129.0,114.4775,36.535
哈尔滨,98.0,127.9688,45.368
克拉玛依,59.0,85.2869,45.5054
温州,65.0,120.498,27.8119
金坛,79.0,119.6056,31.7314
锦州,90.0,121.6626,41.4294
开封,109.0,114.5764,34.6124
济宁,115.0,116.8286,35.3375
宿迁,91.0,118.5535,33.7775
金华,78.0,120.0037,29.1028
乳山,62.0,121.5469,36.9263
荆州,98.0,113.291,30.0092
宝鸡,88.0,107.1826,34.3433
金昌,82.0,102.074,38.5126
秦皇岛,80.0,119.2126,40.0232
铜川,89.0,109.0393,35.1947
太原,93.0,112.3352,37.9413
攀枝花,57.0,101.6895,26.7133
株洲,79.0,113.5327,27.0319
嘉峪关,80.0,98.1738,39.8035
岳阳,77.0,113.2361,29.1357
石嘴山,94.0,106.4795,39.0015
胶州,78.0,120.0354,36.2703
日照,93.0,119.2786,35.5023
阳泉,89.0,113.4778,38.0951
湖州,81.0,119.8608,30.7782
北海,51.0,109.314,21.6211
江阴,97.0,120.2911,31.927
西安,94.0,109.1162,34.2004
海口,40.0,110.3893,19.8516
德阳,81.0,104.48,31.1133
吉林,89.0,126.8372,43.6047
常州,89.0,119.4543,31.5582
潮州,61.0,116.7847,23.8293
惠州,48.0,114.6204,23.1647
扬州,85.0,119.4653,32.8162
菏泽,130.0,115.6201,35.2057
句容,79.0,119.1736,31.9506
济南,128.0,117.1582,36.8701
杭州,80.0,119.5313,29.8773
胶南,87.0,119.77,35.944
武汉,99.0,114.3896,30.6628
南通,84.0,121.1023,32.1625
即墨,80.0,120.4519,36.3952
重庆,79.0,106.556,29.5709
莱西,85.0,120.5231,36.8934
大庆,66.0,124.7717,46.4282
汕尾,45.0,115.5762,23.0438
兰州,89.0,103.5901,36.3043
茂名,50.0,111.0059,22.0221
东营,116.0,118.7073,37.5513
大连,77.0,122.2229,39.4409
淮安,88.0,118.927,33.4039
宜宾,81.0,104.6558,28.548
焦作,121.0,112.8406,35.1508
赤峰,73.0,118.6743,43.2642
佛山,58.0,112.8955,23.1097
衢州,65.0,118.6853,28.8666
南京,86.0,118.8062,31.9208
招远,82.0,120.4422,37.3624
长沙,84.0,113.0823,28.2568
德州,138.0,116.6858,37.2107
盘锦,81.0,121.9482,41.0449
长治,95.0,112.8625,36.4746
合肥,92.0,117.29,32.0581
昆明,51.0,102.9199,25.4663
安阳,125.0,114.5325,36.0022
海门,79.0,121.1882,31.8793
九江,74.0,115.4224,29.3774
马鞍山,85.0,118.6304,31.5363
常熟,82.0,120.7582,31.6602
常德,74.0,111.4014,29.2676
沧州,103.0,116.8286,38.2104
北京,113.0,116.4147,39.9125
瓦房店,88.0,121.9854,39.6334
衡水,141.0,115.8838,37.7161
溧阳,85.0,119.4905,31.4217
滨州,111.0,117.8174,37.4963
莱州,89.0,119.9476,37.184
嘉兴,79.0,120.9155,30.6354
保定,144.0,115.0488,39.0948
长春,96.0,125.8154,44.2584
包头,88.0,110.3467,41.4899
桂林,70.0,110.5554,25.318
