name,aqi,lon,lat
自贡,100.0,104.6667,29.2786
淄博,124.0,118.0371,36.6064
珠海,51.0,113.7305,22.1155
镇江,88.0,119.4763,31.9702
郑州,135.0,113.4668,34.6234
枣庄,124.0,117.323,34.8926
宜兴,77.0,119.8306,31.344
义乌,75.0,120.0789,29.3123
银川,87.0,106.3586,38.1775
宜昌,98.0,111.1707,30.7617
盐城,81.0,120.2234,33.5577
徐州,98.0,117.5208,34.3268
西宁,82.0,101.4038,36.8207
邢台,138.0,114.8071,37.2821
咸阳,94.0,108.4131,34.8706
厦门,49.0,118.1689,24.6478
乌鲁木齐,106.0,87.9236,43.5883
延安,83.0,109.1052,36.4252
吴江,82.0,120.6543,31.1464
芜湖,81.0,118.3557,31.0858
张家界,75.0,110.5115,29.328
文登,62.0,122.0665,37.201
阳江,51.0,111.8298,22.0715
渭南,92.0,109.7864,35.0299
湘潭,81.0,112.5439,27.7075
威海,65.0,121.9482,37.1393
潍坊,110.0,119.0918,36.524
天津,103.0,117.2076,39.0913
台州,64.0,121.1353,28.6688
张家口,69.0,114.893303,40.830718,
贵阳,58.0,106.6992,26.7682
柳州,71.0,109.3799,24.9774
石家庄,122.0,114.4995,38.1006
深圳,48.0,114.5435,22.5439
绵阳,69.0,104.7327,31.8713
绍兴,79.0,120.564,29.7565
汕头,53.0,117.1692,23.3405
大同,75.0,113.7854,39.8035
上海,79.0,121.4854,31.2372
三亚,34.0,109.3716,18.3698
江门,53.0,112.6318,22.1484
曲靖,51.0,103.9417,25.7025
鄂尔多斯,65.0,108.9734,39.2487
齐齐哈尔,65.0,124.541,47.5818
平度,82.0,119.9624,36.7915
中山,50.0,113.4229,22.478
烟台,73.0,120.7397,37.5128
平顶山,122.0,112.9724,33.739
韶关,52.0,113.7964,24.7028
蓬莱,73.0,120.7653,37.8165
张家港,91.0,120.562,31.8809
鞍山,99.0,123.0798,40.6055
宁波,69.0,121.5967,29.6466
南充,84.0,106.2048,31.1517
肇庆,58.0,112.1265,23.5822
南昌,68.0,116.0046,28.6633
梅州,52.0,116.1255,24.1534
荣成,62.0,122.4939,37.1706
青岛,84.0,120.4651,36.3373
泸州,85.0,105.4578,28.493
呼和浩特,83.0,111.4124,40.4901
洛阳,104.0,112.0605,34.3158
丽水,59.0,119.5642,28.1854
承德,76.0,117.5757,41.4075
临沂,115.0,118.3118,35.2936
临汾,85.0,111.4783,36.1615
